collected_at,platform,title
2026-02-24 09:28:35,Munpia,"134좌천된 회사원이 영국 깡촌 축구팀을 살림블라님스포츠, 현대판타지23305"
2026-02-24 09:28:35,Munpia,"187현대판타지, 대체역사서른둘 아빠에게 몰빵해서 금수저 되기아멋밍"
2026-02-24 09:28:35,Munpia,148현대판타지2002년 고3은 돈 복사가 쉽다짼또리
2026-02-24 09:28:35,Munpia,"92신이 찍어준 주식으로 돈이 미치게 쌓임큭큭큭현대판타지, 판타지24565"
2026-02-24 09:28:35,Munpia,"115현대판타지, 퓨전고도의 유전자를 숨김김리노"
2026-02-24 09:28:35,Munpia,"123현대판타지, 판타지지옥의 SSS급 각성자는 악인을 섬멸한다에쮸드"
2026-02-24 09:28:35,Munpia,"106현대판타지, 퓨전먼치킨 삼촌의 탑 공략법빠르송"
2026-02-24 09:28:35,Munpia,제2회 (2016년)
2026-02-24 09:28:35,Munpia,"69현대판타지, 판타지헌터 협회장이 일을 너무 잘함도도새사촌"
2026-02-24 09:28:35,Munpia,167현대판타지나 혼자 아포칼립스 자원 무한 앞마당하얀색고래
2026-02-24 09:28:35,Munpia,"176무한 마력의 신화급 헌터가 되었다글깎는토끼현대판타지, 퓨전11183"
2026-02-24 09:28:35,Munpia,"79현대판타지, 퓨전게임 속 퀘스트, 보상은 현실에서한소™"
2026-02-24 09:28:35,Munpia,고객지원
2026-02-24 09:28:35,Munpia,"93500억 건물주라 취미로 게임하는데 수익이 미침캡틴땃쥐현대판타지, 퓨전21524"
